Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-12074.916	279.68738	-11657.615	-12395.6875	1000.0	0.7783944	0.107973374	2.002199	0.44812086	4000	-0.066931814	1245447.0	-1.9282103e-05	-64.125	7.3488255	1.6193391e-06	4.731762886047363
1	-12242.495	67.30141	-12183.298	-12350.68	1000.0	0.7097295	0.10142286	2.2281814	0.43416056	8000	-0.08294001	1280632.5	-1.5232712e-05	-72.5625	7.391346	-1.8851756e-06	8.933040142059326
2	-12291.25	100.18752	-12194.818	-12455.403	1000.0	0.67640835	0.10459278	1.9135151	0.4201843	12000	-0.056055963	1290033.1	-1.8060207e-05	-78.125	7.3709464	2.991736e-06	13.112369060516357
3	-12272.548	114.92339	-12158.805	-12420.778	1000.0	0.636191	0.09894006	1.6411748	0.3538203	16000	-0.025256509	1280086.9	-1.41114e-05	-81.375	7.281232	1.939237e-06	17.3039288520813
4	-12301.537	83.31648	-12164.091	-12382.339	1000.0	0.59533185	0.09831553	1.6900322	0.27510858	20000	-0.038893297	1293939.8	-1.4394522e-05	-87.1875	7.3746853	5.0783154e-07	21.520668983459473
5	-12259.146	116.6611	-12095.827	-12386.254	1000.0	0.5595687	0.097014844	1.6332201	0.2734539	24000	-0.008125789	1280574.6	-2.0798296e-05	-90.0625	7.348182	-1.538992e-06	25.74181032180786
6	-12292.763	156.6336	-12091.441	-12458.302	1000.0	0.53332275	0.102795094	1.6718454	0.13927546	28000	-0.08967288	1295211.0	-2.3305416e-05	-94.75	7.3555555	-2.9963252e-07	29.98084807395935
7	-12304.717	85.781876	-12197.652	-12419.5205	1000.0	0.4765539	0.09788387	1.4653933	0.1081838	32000	-0.043430943	1295427.2	-2.489239e-05	-98.625	7.3643746	-7.722378e-07	34.199212312698364
8	-12276.964	126.64011	-12117.821	-12455.567	1000.0	0.4358754	0.09818582	1.4332713	0.1377659	36000	-0.04647009	1284699.9	-2.1874905e-05	-101.4375	7.351367	2.7219057e-06	38.43923330307007
9	-12079.783	155.16248	-11869.645	-12305.01	1000.0	0.40402344	0.10762918	1.1574482	-0.05315363	40000	-0.010403082	1250016.1	-2.552569e-05	-102.3125	7.3508883	-8.46392e-06	43.0881781578064
