Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-252.53227	698.2766	-33.069912	-5612.3105	45.95082	0.14811377	0.730812	2.4634793	-2.8035307	4000	-0.024247527	141428.11	-1.835823e-05	-6.2070312	7.3491898	1.0037411e-07	4.635080099105835
1	-245.39313	663.2071	-33.58086	-5578.114	44.074627	0.1501015	0.71074504	2.7294683	-2.2597513	8000	-0.04138966	140840.06	-1.9326806e-05	-7.0078125	7.383956	7.3671345e-08	8.445645332336426
2	-334.80457	946.38763	-41.654495	-5509.3735	62.559322	0.1264788	0.7156147	2.7967463	-2.038222	12000	-0.05004653	135239.42	-2.276618e-05	-7.671875	7.350743	-1.7090439e-06	12.266984939575195
3	-394.43152	1008.7201	-43.109142	-5452.6714	71.30232	0.12978782	0.713771	2.4863951	-2.4598749	16000	-0.010395646	178718.34	-2.1338463e-05	-11.109375	7.330702	7.4654827e-07	16.110947370529175
4	-335.01013	832.784	-49.75086	-5543.5527	61.3125	0.09937565	0.7261602	2.4916487	-2.850116	20000	-7.212162e-05	126564.5	-1.9073486e-05	-7.4414062	7.298277	-1.2567043e-06	19.95919966697693
5	-241.90222	565.8804	-37.22526	-5382.4414	43.54945	0.072294	0.7245394	2.904618	-2.284248	24000	-0.0554955	81930.55	-2.0503998e-05	-4.6523438	7.330277	1.4703869e-06	23.780184507369995
6	-341.80566	778.8394	-48.28305	-5642.894	62.642857	0.09404101	0.7152192	2.4334843	-2.1451886	28000	-0.039616585	130892.43	-2.2053719e-05	-8.5234375	7.3769674	-8.929371e-07	27.588571548461914
7	-256.07892	594.8468	-35.003902	-5668.927	44.80682	0.06300288	0.7270616	2.4971766	-2.4944327	32000	-0.07440084	86214.93	-2.1755695e-05	-5.444336	7.339671	5.524337e-06	31.399493932724
8	-549.4173	1271.777	-55.048237	-5582.5483	97.84615	0.0435281	0.7194544	2.561031	-2.5025322	36000	-0.034914613	176345.47	-1.8239021e-05	-14.6875	7.337824	1.7995238e-06	35.7997841835022
9	-357.71774	979.3063	-51.675144	-5224.1865	66.9	0.036397684	0.71513796	2.421564	-2.335048	40000	-0.024048626	152319.34	-2.5868416e-05	-11.566406	7.35684	-2.0695925e-06	40.43066215515137
