Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-421.7293	826.75073	-35.357353	-2893.015	145.9	0.09460499	0.50585705	1.9745051	-1.987943	4000	-0.07355046	54629.33	-1.3530254e-05	-4.8125	7.3491898	-2.952218e-06	4.292571067810059
1	-337.85193	718.19495	-33.51185	-2886.7598	116.74074	0.09707889	0.52556485	2.0607789	-1.646407	8000	-0.119508535	48089.68	-1.7642975e-05	-4.783203	7.3839545	3.2353398e-07	8.020781517028809
2	-550.18774	1025.0226	-53.11933	-2894.8533	189.5	0.108383	0.5119754	2.108836	-1.6444196	12000	-0.07603021	62635.766	-1.40964985e-05	-7.203125	7.3507414	3.233552e-07	11.792881488800049
3	-227.43793	504.43735	-24.24787	-2900.667	75.4	0.07200097	0.5108238	1.9136585	-2.080372	16000	-0.10148454	48253.297	-1.4424324e-05	-5.0976562	7.3307	4.3094155e-07	15.584791660308838
4	-437.76266	790.289	-27.361519	-3093.9944	148.26086	0.06159619	0.51408464	2.4650848	-1.6225989	20000	-0.106948435	49782.93	-1.6465783e-05	-5.6503906	7.2982745	9.408593e-07	19.36501693725586
5	-379.76382	701.7937	-34.3025	-2858.256	130.03847	0.040019847	0.50789344	2.3965812	-1.7309811	24000	-0.07132925	44094.79	-1.79708e-05	-5.2421875	7.330274	6.063581e-07	23.222360134124756
6	-367.98068	798.17865	-27.054174	-2952.3274	124.347824	0.045681436	0.52154773	2.2349977	-2.031827	28000	-0.10802007	54606.91	-1.9311905e-05	-7.0566406	7.3769636	-3.2603145e-06	27.02013897895813
7	-278.61603	526.31976	-25.710247	-3063.5842	89.054054	0.020156108	0.52017194	1.910851	-2.1589491	32000	-0.09945631	45622.047	-1.642108e-05	-5.8964844	7.339668	2.703011e-06	30.841080904006958
8	-494.69412	912.4811	-20.503067	-2943.8774	169.82608	-0.000310282	0.5043717	2.1020849	-1.8618066	36000	-0.118626475	53646.168	-1.603365e-05	-7.4921875	7.337821	4.46856e-07	34.63500094413757
9	-312.6171	684.20935	-29.697601	-2828.8545	111.72414	-0.03742727	0.5058531	1.8205664	-1.987014	40000	-0.08192772	47571.344	-1.8894672e-05	-6.3515625	7.3568363	3.111959e-07	38.770498752593994
