Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-206.75244	397.32083	-16.377523	-1684.7927	126.17857	0.037394807	0.35914052	1.1797699	-1.0599259	4000	-0.130845	15634.468	-8.255243e-06	-0.7163086	7.3491898	6.175041e-07	4.396338939666748
1	-310.2954	489.4183	-17.802696	-1622.6387	201.88889	0.038695082	0.36058488	1.0684353	-1.1342287	8000	-0.12363248	15899.682	-1.0386109e-05	-0.9003906	7.3839545	-1.01161e-06	8.17792797088623
2	-179.14952	412.13974	-10.186001	-1656.6866	112.78571	0.019826358	0.36337432	1.2321272	-1.3337133	12000	-0.08712122	15618.772	-1.1265278e-05	-0.8754883	7.3507414	5.201101e-07	11.941643476486206
3	-214.62369	444.2103	-2.5011303	-1677.9257	133.39131	0.026023446	0.35679254	1.1263273	-1.1467867	16000	-0.14843988	17164.527	-9.655952e-06	-1.0097656	7.3307	-1.1155009e-06	15.707040786743164
4	-231.42946	447.73083	-21.546434	-1604.0865	147.4762	0.025014022	0.35097003	1.1458584	-1.1619872	20000	-0.14724696	16306.462	-9.5665455e-06	-1.0249023	7.2982745	3.30627e-07	19.418930292129517
5	-183.9417	380.71664	-13.413724	-1646.6312	110.90625	0.018359477	0.34954026	1.1241237	-1.0853101	24000	-0.07728168	14832.195	-1.0222197e-05	-1.0751953	7.3302736	-2.87354e-07	23.148799896240234
6	-140.06932	333.86865	-12.82003	-1663.4413	85.13636	0.016435709	0.35587955	1.183612	-1.1545746	28000	-0.107676685	13287.912	-9.953976e-06	-0.84765625	7.3769636	-7.299781e-07	26.88250160217285
7	-237.28725	446.35748	-16.25669	-1620.1664	147.19048	0.009354924	0.35954893	1.0299907	-1.1143473	32000	-0.13032039	15907.225	-1.1622906e-05	-1.1806641	7.3396673	-5.4103134e-07	30.64981770515442
8	-190.96928	384.29337	-16.989918	-1653.3551	117.67742	0.004780841	0.35487399	1.082039	-1.205849	36000	-0.07209861	13645.248	-1.0341406e-05	-0.95166016	7.33782	1.1238455e-06	34.383933305740356
9	-184.8426	372.6962	-13.926491	-1680.9528	108.757576	-0.0048677656	0.36242712	1.3195943	-1.2453431	40000	-0.11294103	14588.268	-1.0251999e-05	-1.1484375	7.356837	-5.6070087e-07	38.32671809196472
