Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-1702.8112	1112.7346	-173.7912	-2717.6538	648.4	0.45352212	0.4765553	3.2977161	-0.6370394	4000	-0.16508354	55661.07	-0.0010666102	-4467.922	7.3488255	8.372712e-05	4.406848669052124
1	-1068.3647	1197.1141	-101.673096	-2665.974	404.375	-9.5373745	3.191789	-1.6854087	-23.901215	8000	-0.20314755	50807.836	-0.0010752678	-3643.6953	7.3910365	-6.14571e-05	8.340045690536499
2	-2287.9731	557.71594	-1323.0892	-2646.388	868.75	-17.92734	5.5997853	-3.3171613	-45.52336	12000	-0.1816619	47788.375	-0.0009776354	-3714.336	7.3702607	6.727326e-05	12.23203182220459
3	-2006.8093	963.2096	-338.82788	-2594.799	779.25	-26.751955	8.008867	-4.862998	-57.47361	16000	-0.19535808	42583.562	-0.00062351977	-3603.9941	7.2802153	-4.218942e-05	16.170228481292725
4	-1428.3374	1188.6678	-206.21387	-2718.795	548.6667	-36.127407	10.240186	-6.15054	-80.78153	20000	-0.15967473	39130.9	-0.0006683562	-3405.6016	7.3733177	-8.852589e-05	20.076303005218506
5	-1053.2739	1034.0095	-182.96744	-2529.3813	410.83334	-45.367073	12.68988	-8.306726	-92.08207	24000	-0.12922674	32425.336	-0.0006816983	-3004.37	7.346529	-0.00020855694	24.001866579055786
6	-1779.5984	982.794	-384.92407	-2635.3772	682.6	-54.488014	14.6919565	-10.106066	-119.0585	28000	-0.1275592	32098.332	-0.000703495	-3241.5908	7.353672	-0.00012764204	27.904626846313477
7	-911.35657	1001.53534	-49.939194	-2597.3352	354.125	-64.97838	17.12723	-12.647154	-134.41374	32000	-0.084245145	26329.912	-0.0006929338	-2587.5264	7.3622646	-0.00015454322	31.797768592834473
8	-1965.7914	944.1019	-332.1927	-2575.8098	777.25	-73.23331	18.904613	-14.494011	-148.41624	36000	-0.099129975	27152.578	-0.00086033344	-2980.0615	7.349109	-0.00017044162	35.70520281791687
9	-1982.7036	1076.9686	-119.33632	-2671.8818	764.0	-85.2363	21.266674	-17.625269	-180.53984	40000	-0.11494699	24415.453	-0.000722602	-2961.3984	7.3484564	-0.00025757556	39.87712621688843
