Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-2133.2754	891.55194	-590.30817	-2687.0981	803.75	0.45892036	0.4772857	3.1975708	-0.5918025	4000	-0.16593584	55175.594	-0.0010744035	-4471.5527	7.3488255	7.986057e-05	4.5483362674713135
1	-1346.1997	1203.9508	-45.326492	-2661.3267	527.5	-9.513461	3.1861897	-1.69484	-23.645222	8000	-0.22891773	50822.734	-0.00090341456	-3597.7715	7.3910356	-3.830457e-05	8.487078428268433
2	-1154.347	1216.5756	-65.13504	-2667.0344	433.6	-17.960352	5.5870833	-3.2251854	-41.309113	12000	-0.18970004	47617.324	-0.0008862838	-3615.3164	7.3702145	4.6155517e-05	12.42745566368103
3	-2556.9692	71.17277	-2471.4976	-2669.2122	1000.0	-26.914442	7.5504017	-5.245306	-51.532288	16000	-0.16052146	43520.086	-0.0005748193	-3470.3984	7.2801538	-7.644647e-05	16.339664936065674
4	-2030.927	1052.3811	-217.16136	-2787.818	765.25	-35.448116	9.203534	-7.157332	-57.18778	20000	-0.2070266	42664.54	-0.000863418	-3085.7305	7.3733196	-0.00013830465	20.260286331176758
5	-1472.3115	1118.4034	-190.90492	-2618.461	559.8333	-43.381943	9.854641	-8.126824	-60.574852	24000	-0.112540975	35731.094	-0.00068501756	-2191.5762	7.3464518	-0.00012655377	24.179344415664673
6	-1462.3047	1033.9813	-77.44586	-2622.8943	555.0	-49.22421	9.663202	-10.0251255	-62.97287	28000	-0.14689693	33186.348	-0.0009813942	-1748.6777	7.353626	-7.485264e-05	28.073085069656372
7	-2009.925	1008.84595	-263.7002	-2623.9133	773.75	-53.975742	9.547956	-12.5653	-64.98815	32000	-0.13594797	33496.477	-0.0008301269	-1505.001	7.3621883	4.594922e-05	31.95511293411255
8	-1854.5059	1012.1731	-106.9999	-2569.21	759.5	-58.363358	8.643646	-13.266803	-66.858315	36000	-0.09016104	28236.516	-0.000825122	-1116.6406	7.3489456	1.1810657e-06	35.883328914642334
9	-1267.0824	1057.4556	-266.34894	-2570.0554	490.6	-62.07514	7.822408	-13.795417	-68.470146	40000	-0.1437914	29058.605	-0.0006300211	-886.51953	7.3483105	-0.00019928973	40.037572383880615
