Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-270.9883	494.19342	-37.32811	-5353.1387	29.661016	0.14544499	0.9274521	3.4132733	-3.2753294	4000	0.00879474	195056.31	-0.0077130497	-2979.4922	7.3491898	0.0012103202	4.375349760055542
1	-322.08994	839.5228	-47.864918	-8965.459	35.954956	-4.3799434	2.5182197	3.0638597	-13.284267	8000	-0.013826489	198150.06	-0.006178379	-1938.543	7.383972	-0.00016103406	8.211048126220703
2	-352.03128	801.0809	-66.02992	-7334.394	38.775	-7.2272186	3.4900131	1.8918526	-20.488598	12000	-0.02833128	302852.38	-0.0065464973	-2697.8848	7.3507338	0.0011324328	12.052307367324829
3	-337.17096	889.2271	-38.704563	-9165.277	38.23301	-10.461771	4.2431264	-0.11578029	-28.239737	16000	-0.03589046	207296.11	-0.004949808	-1506.4766	7.3306417	0.0005386092	15.852530479431152
4	-383.3643	1056.1378	-55.965008	-9014.807	43.014286	-12.495019	5.2116785	0.8462895	-30.829845	20000	-0.0063910335	363234.88	-0.0057128966	-3127.2188	7.2981477	0.00030644762	19.691308975219727
5	-390.55243	1033.2024	-58.91858	-9283.684	42.4625	-15.983346	6.0800533	-2.0424316	-40.195835	24000	-0.03315991	316067.8	-0.00752002	-2473.6875	7.330137	0.00021679777	23.485872983932495
6	-263.9415	183.80486	-50.89493	-1170.2047	29.538462	-18.84731	7.0103283	-1.7800524	-46.90059	28000	-0.03931451	102183.83	-0.0059394836	-710.69336	7.3767643	0.0005419755	27.259541988372803
7	-690.3794	1890.1646	-79.47234	-8832.255	78.17949	-19.571026	7.750921	0.79326946	-51.635178	32000	0.0076544285	453624.25	-0.006101072	-4193.5312	7.339396	0.00054919056	31.013941287994385
8	-423.67746	1034.0381	-70.452614	-7099.8325	48.648647	-23.422117	8.559892	-0.5504319	-58.30366	36000	-0.015784033	281780.25	-0.0068350155	-2032.2969	7.337565	0.00085589476	34.79823684692383
9	-325.63028	968.9836	-56.23487	-8890.953	37.012344	-25.849125	9.292639	1.3124397	-64.52591	40000	-0.028250732	334237.47	-0.0049634576	-2338.2656	7.3565507	0.0011502695	38.8422691822052
