Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-398.16	995.49133	-37.285748	-4849.2793	81.28571	0.41814604	0.9519072	4.491315	-1.828114	4000	-0.00331527	129347.11	-0.04364264	-81828.945	7.3488255	0.031853817	4.531723499298096
1	-512.18	1057.5912	-44.616768	-4858.601	105.44444	-192.25897	54.158722	-35.632206	-417.16174	8000	0.03535506	44044.492	-0.021040142	-16843.922	7.3901463	0.018263383	8.445777654647827
2	-1610.4388	2075.3984	-64.64221	-4601.936	358.66666	-299.9907	63.891796	-23.455643	-548.07697	12000	-0.069280714	27021.86	-0.0129856095	-15637.104	7.3697777	0.0119528035	12.406253576278687
3	-509.41266	1123.37	-57.689114	-4736.766	109.586205	-401.73145	74.407715	-36.883743	-615.4188	16000	0.013865709	29277.09	-0.013860762	-10458.422	7.2796636	0.009880351	16.354225397109985
4	-668.12384	1337.1401	-43.55212	-4196.0254	156.0	-337.13348	68.49871	9.746501	-579.49554	20000	-0.007286176	13621.949	-0.012070879	-2234.1191	7.3729353	0.0059831594	20.354685306549072
5	-517.6367	1066.8545	-43.084248	-4120.8994	123.6	-339.48175	82.355286	19.216228	-543.3673	24000	0.010057904	16625.17	-0.011139244	-4440.9707	7.346159	0.007036789	24.673181295394897
6	-840.6746	1454.7126	-94.6181	-4153.999	204.0	-324.16394	71.765686	25.178226	-549.3956	28000	-0.016064018	12346.564	-0.01069656	-2093.6416	7.3533163	0.007910311	29.310035228729248
7	-696.852	1273.3762	-54.698215	-4172.6284	169.47058	-333.23843	76.30851	22.369602	-549.1217	32000	0.025935277	13236.772	-0.013204157	-1559.9336	7.3618536	0.0029523703	33.78538107872009
8	-1035.111	1602.5198	-53.23017	-3992.6575	257.23077	-338.84348	69.02358	22.486002	-507.1089	36000	-0.06320068	10592.527	-0.009092554	-1069.2864	7.3486977	0.006966822	37.76772665977478
9	-372.89166	835.8608	-33.26017	-4122.218	89.95238	-294.3215	85.88653	20.819653	-560.87225	40000	-0.07486303	17639.799	-0.007427577	-3344.3174	7.3478107	0.008973246	42.13223934173584
