Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-1776.7406	1045.0173	-74.921196	-2675.387	679.6	0.46397182	0.47655344	3.3599236	-0.5826875	4000	-0.19539626	54264.547	-0.03086248	-46545.605	7.3488255	0.01192735	4.550414800643921
1	-1037.8768	954.459	-198.35136	-2571.483	405.0	-174.55478	41.414062	-38.34005	-335.02448	8000	-0.10922785	7040.0215	-0.011251971	-2294.5999	7.3889456	0.004279144	8.496190309524536
2	-1866.6519	1059.2434	-34.128834	-2558.9514	752.25	-203.73518	38.468666	-47.389126	-358.1008	12000	-0.0700281	3636.4692	-0.008906543	-961.87195	7.366371	0.0017994273	12.404270887374878
3	-1765.9004	726.8854	-760.8954	-2394.4578	755.0	-226.6905	31.460543	-58.287567	-353.72968	16000	-0.066302784	3639.8784	-0.005452402	-1153.8263	7.274865	-0.0006545589	16.323781490325928
4	-1146.5529	855.797	-76.25351	-2379.0615	498.66666	-189.89919	30.792034	-48.230957	-308.29547	20000	-0.076171786	3636.7734	-0.0067971647	-790.6926	7.3666663	0.00074840913	20.196524143218994
5	-1447.3066	1067.6798	-80.76832	-2388.759	625.0	-201.84995	25.98495	-48.478817	-299.96756	24000	-0.081083715	2832.3594	-0.004882008	-366.76978	7.3385353	0.0005515015	24.12129020690918
6	-2271.8774	27.752329	-2228.065	-2303.285	1000.0	-195.53297	25.423685	-49.092445	-280.21167	28000	-0.13925843	2457.6868	-0.0049796915	-486.8443	7.3442545	0.0010205426	28.022666215896606
7	-2262.99	44.76225	-2222.1392	-2336.6309	1000.0	-191.16457	26.373692	-56.327484	-292.67352	32000	-0.06759688	3256.8345	-0.005256325	-847.8147	7.351327	0.002057755	31.934130668640137
8	-2252.4797	74.474014	-2189.663	-2377.6226	1000.0	-206.62706	22.071898	-71.43932	-306.02954	36000	-0.07374311	2528.0068	-0.005805962	-390.26416	7.3366404	0.00052273844	35.879075050354004
9	-853.8707	909.7903	-41.125008	-2305.5771	376.1	-207.0157	26.47031	-76.48401	-306.89078	40000	-0.008498549	5097.9883	-0.0052285194	-1758.1615	7.334518	-0.00016385986	40.10086131095886
