Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-1972.335	1119.3204	-36.046436	-2686.547	753.0	0.45108452	0.48125273	2.995993	-0.6344776	4000	-0.19537771	56816.414	-0.03393013	-30417.498	7.3488255	0.01631972	4.6649885177612305
1	-2009.4312	941.9345	-383.54117	-2656.4739	787.5	-79.045654	2.6422482	-25.90859	-79.72477	8000	-0.098055795	23826.64	-0.013043623	-9341.383	7.3889456	0.00793708	8.627138137817383
2	-1114.0471	1019.03204	-65.52271	-2444.4023	465.125	-116.231	2.8475912	-46.81177	-116.39594	12000	-0.10417616	10963.983	-0.012734652	-3368.9897	7.3665543	0.008141406	12.50890564918518
3	-1752.487	990.6267	-37.085484	-2356.2942	752.75	-139.49855	2.2342763	-75.86959	-139.60928	16000	-0.077316396	6764.56	-0.007609113	-2445.2585	7.275021	0.004682525	16.440309286117554
4	-1239.8099	1075.457	-91.57419	-2410.869	530.8333	-159.97218	2.609197	-95.5102	-160.09756	20000	-0.07705634	4875.5	-0.008637335	-1183.6587	7.366781	0.004715303	20.38163924217224
5	-1403.0084	987.35065	-61.63325	-2249.3213	630.0	-175.2162	2.1829486	-106.90865	-175.30779	24000	-0.085853934	2592.476	-0.008435443	-277.80518	7.338704	0.0025916325	24.296639442443848
6	-1781.6531	807.1042	-389.37024	-2360.9714	789.0	-183.17358	1.82271	-126.45225	-183.24457	28000	-0.12667699	2320.9124	-0.0065762177	-200.11475	7.344491	0.0019739904	28.21817111968994
7	-1063.1403	956.1955	-62.938282	-2220.8582	476.4	-189.96669	1.6092398	-140.93192	-190.04079	32000	-0.0688562	2151.9355	-0.00724563	-31.196838	7.3515882	0.0025246658	32.18580436706543
8	-1323.5088	959.0427	-116.608665	-2210.1929	628.8	-192.92897	1.4656072	-144.99593	-192.99254	36000	-0.085455954	2300.0913	-0.007502675	-29.51477	7.33694	0.0045950683	36.08124756813049
9	-1559.3735	868.72076	-54.764393	-2070.974	756.25	-190.35143	0.9427362	-157.44122	-190.38914	40000	-0.06437945	1804.6084	-0.0070551485	-3.6619873	7.334856	0.0013735181	40.37572145462036
