Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-12332.636	98.56379	-12163.218	-12405.517	1000.0	0.7353845	0.10065723	1.7709382	0.43076405	4000	-0.0651949	1299504.2	-0.04788206	-528224.9	7.3488255	0.09330959	4.795101881027222
1	-11194.131	52.629784	-11137.447	-11269.41	1000.0	-261.27673	41.536743	-139.96362	-710.9269	8000	-0.0488532	605882.6	-0.016228791	-552742.8	7.3901467	0.057278126	8.983530282974243
2	-10343.518	23.755592	-10306.114	-10366.433	1000.0	-989.9429	175.8346	-404.76395	-1681.5831	12000	0.019257337	51972.242	-0.004590988	-13106.879	7.3686657	0.049495623	13.272852897644043
3	-9569.664	107.88012	-9442.36	-9683.047	1000.0	-880.8133	162.61963	-396.3095	-1425.6443	16000	0.05318193	35412.656	-0.0035408884	-4472.4717	7.278578	0.03262062	17.516132593154907
4	-9049.908	67.20606	-8977.609	-9152.03	1000.0	-847.69965	137.31155	-400.7021	-1279.9308	20000	0.102270104	28693.393	-0.014491394	-3429.9727	7.371994	0.036418535	21.703547954559326
5	-8428.049	95.23558	-8288.563	-8535.762	1000.0	-754.7544	125.54183	-389.27454	-1224.6915	24000	0.0049751475	23093.371	-0.0059364066	-2325.1436	7.345802	0.0351825	25.87831139564514
6	-8023.767	93.49127	-7862.7935	-8093.88	1000.0	-740.2255	110.250435	-401.65347	-1200.2356	28000	-0.09886163	21897.59	-0.006123267	-4890.0684	7.353507	0.024399297	30.048611402511597
7	-7623.648	192.35435	-7437.006	-7885.2114	1000.0	-629.4509	116.95633	-316.5557	-1047.9373	32000	-0.011780232	31794.719	-0.011887938	-9119.164	7.3621864	0.026912987	34.16487646102905
8	-6525.158	1236.6173	-4394.454	-7426.0186	898.0	-717.495	90.697136	-399.33633	-1003.53894	36000	-0.0066541284	21621.418	-0.008012831	-6522.31	7.3490267	0.028115503	38.32418131828308
9	-6929.31	131.19437	-6724.8374	-7079.699	1000.0	-621.4312	84.80348	-365.76382	-932.5478	40000	-0.010033846	24340.275	-0.012865037	-2580.0918	7.3483496	0.023197323	42.708311796188354
