Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-450.06042	856.0938	-44.496918	-2812.1606	157.52942	0.10045639	0.51620376	2.5867305	-1.5162476	4000	-0.14250767	58060.82	-0.029736638	-13280.641	7.3491898	0.011079257	4.5451881885528564
1	-201.2587	369.72473	-31.39622	-2746.3953	66.85714	-32.06213	8.20981	-5.506651	-59.312424	8000	-0.044226497	21106.566	-0.019507706	-7441.2534	7.3821545	0.008050851	8.84001874923706
2	-333.56448	650.3843	-39.024006	-2722.4658	118.93104	-72.85878	15.547069	-16.773613	-118.75738	12000	-0.024166107	21587.922	-0.010227382	-10183.508	7.3474326	0.0053989617	12.638592958450317
3	-433.53604	859.4441	-40.950043	-2742.081	160.1875	-134.2867	20.432056	-35.13334	-193.8362	16000	-0.0011602044	14304.522	-0.009379029	-6691.3594	7.326003	0.0011471554	16.430641412734985
4	-267.83322	589.03925	-21.244093	-2688.603	96.77778	-191.6712	25.036346	-39.6108	-274.4479	20000	-0.0046432614	9305.385	-0.011061788	-1143.5764	7.2925	0.002987295	20.196813821792603
5	-304.91718	653.1451	-29.65057	-2679.6577	116.07407	-183.59619	25.645172	-23.627636	-260.38007	24000	-0.08723545	7267.2305	-0.008852541	-485.02173	7.323751	0.0018267866	23.971538066864014
6	-340.61224	703.9463	-25.823448	-2554.116	131.36363	-189.10863	27.366209	-18.857502	-274.73492	28000	-0.021710217	6564.2627	-0.0070917457	-581.8318	7.3695765	0.0013588544	27.718397855758667
7	-184.19734	392.07974	-27.000788	-2581.8633	70.21951	-192.75203	33.795067	-15.050664	-296.85736	32000	-0.02203077	8321.706	-0.0059933215	-2037.1248	7.331444	0.0027171723	31.48503828048706
8	-366.12704	679.9668	-24.018494	-2466.3574	145.42857	-171.79956	35.348427	6.0334234	-286.1913	36000	-0.017878175	5859.5083	-0.005008936	-844.85876	7.3287573	0.00074279995	35.27885437011719
9	-438.63846	785.78345	-31.084433	-2479.6924	173.33333	-189.66379	34.971466	16.375895	-292.7072	40000	-0.029898867	4654.7715	-0.0059109926	-699.49255	7.346957	0.0012162924	39.30660128593445
