Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-199.02039	417.3413	-25.615725	-1594.8164	125.708336	0.03501103	0.36039186	1.1143657	-1.4163415	4000	-0.08346844	16902.953	-0.022038877	-3136.266	7.3491898	0.007820815	4.366074085235596
1	-168.16971	374.7708	-13.418485	-1606.2114	107.09677	-14.695974	3.058859	-3.0859792	-24.385689	8000	-0.14374813	11108.135	-0.014174283	-3686.645	7.3827553	0.0025744261	8.664647817611694
2	-105.67862	211.70583	-9.944906	-1424.4221	70.78571	-38.98714	5.1107707	-14.295663	-51.672386	12000	-0.08901644	5142.2886	-0.0082240105	-1385.9257	7.3474293	0.0035238005	12.987690687179565
3	-203.78357	386.03644	-20.822844	-1464.0217	141.0	-55.282837	6.193613	-1.7701143	-66.90938	16000	-0.06683874	4626.7305	-0.007950544	-1452.7488	7.3254175	0.0002125178	16.827764987945557
4	-181.09885	386.01764	-13.172957	-1457.4177	126.391304	-71.93044	8.388333	-1.0422256	-89.74861	20000	-0.08554476	3507.344	-0.0061278567	-990.3351	7.2910886	-6.29158e-05	20.561742067337036
5	-153.07666	283.3146	-6.2413764	-1380.1863	108.111115	-86.50031	11.256196	31.559326	-108.69268	24000	-0.07196069	2394.6309	-0.003294766	-198.75934	7.3213806	0.0012576175	24.300086975097656
6	-176.28497	349.96	-6.042455	-1407.6461	124.296295	-83.008095	13.4904585	3.7279744	-106.092285	28000	-0.054103687	2430.2808	-0.0046183765	-317.557	7.3663716	0.0019601558	28.03319549560547
7	-239.9928	432.86765	-2.885116	-1386.4824	172.9375	-92.065216	12.341404	43.49519	-113.56573	32000	-0.04526198	2289.3718	-0.003940642	-418.2533	7.3274794	0.00060546596	31.737778663635254
8	-144.07378	293.2207	-12.602433	-1390.63	105.54054	-100.10231	13.299522	20.135283	-124.31286	36000	-0.047057226	2474.5603	-0.0042708516	-591.32965	7.324064	0.0019119204	35.460973262786865
9	-112.9291	265.764	-5.96375	-1310.0095	91.27907	-81.57283	23.249699	30.848236	-117.29171	40000	-0.03313947	1746.7832	-0.0040123574	-481.53265	7.3415728	0.0016290032	39.40096664428711
