Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-272.52475	717.6327	-22.372595	-3201.3743	89.666664	0.061058395	0.5289569	1.7745932	-1.7837539	4000	-0.050368637	61934.656	-0.037279308	-8911.139	7.3491893	0.016503736	4.28314733505249
1	-307.147	696.8714	-22.572014	-2916.0054	105.26667	-20.82748	5.0898094	-0.21325564	-36.515633	8000	-0.02388668	46737.83	-0.018861175	-13774.891	7.3827553	0.0076788994	8.001320123672485
2	-248.86238	602.27747	-23.27726	-2969.0752	87.21429	-62.059242	7.06058	-26.638124	-76.35242	12000	-0.053249173	24207.965	-0.012724824	-5617.677	7.3485894	0.0050448785	11.7168447971344
3	-222.362	508.68936	-17.73124	-2692.4355	80.42857	-87.975716	9.932013	-25.042614	-102.40945	16000	0.007622294	14723.721	-0.010284342	-2611.4507	7.3272448	0.0057089464	15.398001432418823
4	-342.66464	700.17145	-16.627287	-2610.144	130.57143	-106.21389	12.416907	48.890915	-119.523964	20000	-0.057700545	14158.934	-0.007435173	-3323.7837	7.293969	0.00690771	19.089213371276855
5	-420.54745	800.82654	-25.095322	-2541.2483	171.0	-128.2443	11.854793	-8.662866	-140.03004	24000	-0.05836582	10295.417	-0.007940769	-1873.3174	7.3249426	0.0031645268	22.79011869430542
6	-160.57713	318.34326	-18.29464	-2428.1763	63.810345	-141.72308	20.351053	56.442486	-156.47693	28000	-0.06628138	7494.6445	-0.005562365	-922.417	7.3705244	0.0023371205	26.46145534515381
7	-150.3306	343.85422	-19.629894	-2514.18	62.156864	-120.454544	27.806593	66.0655	-154.07402	32000	-0.04597628	7732.3335	-0.008062929	-1157.5417	7.332137	0.0031993287	30.13965344429016
8	-221.97922	543.2834	-10.088029	-2325.3606	95.0	-134.47615	28.246536	51.07603	-158.6282	36000	-0.030012488	6745.7803	-0.0072636604	-1123.0547	7.3292503	0.0025634244	33.855541944503784
9	-202.37874	475.5169	-20.613426	-2360.444	84.690475	-142.12798	34.025173	71.81861	-169.87895	40000	-0.027243972	5864.437	-0.003947675	-617.2988	7.3472652	0.0030385428	37.76252102851868
