Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-712.0767	1039.1193	-42.065144	-3335.1692	205.6	-0.51866543	0.65579295	1.577787	-3.596821	4000	-0.060146004	75889.06	-0.44973332	-13767.895	7.334816	4.5252604	5.026853561401367
1	-165.59149	127.62355	-31.662918	-622.8296	54.8	-34.150764	10.768897	-2.8493643	-70.63506	8000	-0.08847755	8898.448	-9.23872e-06	-1008.1355	11.350273	1.9967555e-07	9.326620101928711
2	-266.03503	601.8507	-30.311716	-3035.5303	90.86364	-42.956116	12.6838665	-3.7460983	-89.82399	12000	-0.09975004	30193.121	-8.6426735e-06	-4920.7256	11.311184	-8.571146e-08	13.68265151977539
3	-170.66313	355.10242	-24.180578	-2897.5398	57.626865	-63.176796	19.681004	-5.2040505	-127.655014	16000	-0.122466445	14349.52	-1.1444092e-05	-1137.367	11.344288	1.1807681e-06	18.084293365478516
4	-181.15106	114.15447	-18.084959	-458.59323	61.576923	-73.825935	22.886202	-6.35333	-154.67485	20000	-0.078395724	11511.096	-6.3180923e-06	-793.14795	11.315767	-2.5174618e-06	22.419267892837524
5	-243.82759	474.1078	-11.957087	-3003.3245	81.36842	-82.645485	25.14036	-7.393806	-194.41107	24000	-0.14478588	22207.777	-1.3113022e-05	-3067.4392	11.3826275	2.8181078e-06	26.77896523475647
6	-292.0774	623.73663	-30.522749	-3005.5667	97.25	-102.437965	30.599243	-9.197016	-229.89807	28000	-0.03179641	17900.576	-8.2701445e-06	-1769.8252	11.329492	-2.7048583e-07	31.120962858200073
7	-167.77516	360.6672	-36.04625	-2834.301	58.416668	-116.598175	36.094048	-10.378271	-254.5452	32000	-0.03880942	12762.148	-6.198883e-06	-172.70801	11.274648	3.8695336e-07	35.528080463409424
8	-465.13297	848.20154	-51.811817	-3060.0862	155.0	-119.3165	35.089687	-10.58954	-237.06792	36000	-0.098819256	20434.84	-9.179115e-06	-3366.7476	11.351824	-7.808205e-08	39.95436191558838
9	-201.2341	410.1711	-24.665527	-2999.0317	67.38	-141.91956	43.54201	-12.287654	-286.28616	40000	-0.030784905	13342.374	-4.4107437e-06	-72.32373	11.302797	-8.411407e-07	44.665565729141235
