Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-1766.0472	1038.7745	-69.677025	-2641.4482	674.2	0.44867188	0.4902057	4.1723576	-0.54242617	4000	-0.19608209	53928.57	-0.38107193	-4427.4727	7.3488255	3.5831094	4.53646183013916
1	-277.38437	500.3184	-36.594105	-2927.5112	91.68421	-13.117592	4.0562243	-1.351551	-28.658075	8000	-0.12909907	36792.094	-1.180172e-05	-3389.2256	11.33502	2.5115012e-06	8.499218702316284
2	-450.61636	891.87604	-15.611251	-2995.5342	151.61111	-23.633207	6.719739	-3.0624447	-43.414616	12000	-0.17400861	51886.375	-1.9550323e-05	-4830.455	11.314383	-7.2491173e-07	12.398582696914673
3	-236.7181	573.26666	-28.471443	-2990.1406	82.708336	-35.89439	9.0338745	-4.7664847	-53.843807	16000	-0.1471709	29808.148	-1.513958e-05	-1669.6045	11.22435	-3.1547547e-06	16.281580209732056
4	-651.7154	1094.8452	-58.80969	-3025.3728	221.18182	-42.347195	9.018655	-6.072781	-56.933212	20000	-0.22968167	48538.945	-2.9146671e-05	-3255.3496	11.317537	6.793737e-06	20.194945573806763
5	-327.8977	631.5922	-40.599583	-3047.3032	109.76471	-50.733517	9.066502	-7.997605	-60.439117	24000	-0.18243274	27978.457	-1.8447638e-05	-1042.5498	11.2906275	-2.0742414e-07	24.125699281692505
6	-329.67108	735.8108	-32.391193	-3017.2017	111.0	-54.44999	8.679015	-9.003632	-62.284313	28000	-0.11173177	34430.117	-1.6331673e-05	-1185.6465	11.297678	2.03681e-06	28.036487579345703
7	-175.96358	368.36865	-26.020132	-3001.041	59.49231	-58.05792	9.241035	-9.535072	-64.220245	32000	-0.07907367	15544.284	-6.914139e-06	-230.10938	11.306304	4.395008e-06	31.984083890914917
8	-215.75024	392.41464	-33.622566	-2579.561	73.725	-59.880524	8.187628	-10.802472	-65.07171	36000	-0.059924126	22308.02	-9.298325e-06	-461.9004	11.293164	8.729696e-07	35.85959553718567
9	-346.89728	689.94214	-40.28796	-3064.6938	117.03125	-61.879753	7.7190485	-11.778181	-66.33078	40000	-0.10291362	26097.312	-8.881092e-06	-522.33496	11.292585	-3.3783914e-07	40.049275398254395
