Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-722.0089	1904.4896	-40.558456	-10478.004	68.34694	0.33345363	1.6919699	6.6993084	-3.7324553	4000	-0.060369276	620346.5	-0.5499486	-17780.625	7.3488255	11.481195	4.576967239379883
1	-242.2475	455.11765	-39.015022	-2978.8987	80.585365	-9.494393	4.437403	2.231964	-25.708591	8000	-0.14424872	37519.43	-1.2636185e-05	-789.77637	11.380846	5.1267143e-06	8.521809816360474
2	-186.86816	347.06442	-34.135555	-2823.9902	61.03125	-12.068279	4.7978096	1.435753	-30.235016	12000	-0.112014174	22242.45	-1.0162592e-05	-474.38037	11.360176	3.3574104e-06	12.474277019500732
3	-196.29973	308.5197	-36.31769	-2220.0508	65.44	-14.081483	4.8706436	0.96787703	-31.244379	16000	-0.124493	27699.695	-9.179115e-06	-697.5674	11.270254	-2.9846428e-06	16.447379112243652
4	-347.89938	731.8989	-28.986816	-3133.6597	115.19355	-15.963772	5.481631	3.8824916	-37.326897	20000	-0.18713278	45507.5	-2.1398067e-05	-1387.5605	11.363476	2.5786162e-06	20.43454074859619
5	-155.82335	129.10223	-36.162266	-596.13654	52.71875	-20.644318	6.1136184	1.5777973	-42.083	24000	-0.13039654	16941.627	-1.2427568e-05	-489.45605	11.33663	3.982782e-07	24.390522003173828
6	-179.72064	398.4577	-28.159302	-2884.1707	61.54902	-22.335796	6.509828	-2.401239	-45.47391	28000	-0.1355471	32914.055	-1.4603138e-05	-1053.1992	11.343769	1.4202594e-06	28.376047372817993
7	-258.09262	493.867	-25.957157	-3009.939	86.89474	-25.82941	6.869526	-5.665717	-48.788067	32000	-0.14346088	34675.965	-1.36084855e-05	-1276.7344	11.3523445	1.0439157e-06	32.49894881248474
8	-195.35611	369.20782	-22.079762	-2953.393	63.238094	-31.275545	7.723852	-2.804622	-58.6374	36000	-0.107471466	20565.043	-1.2636185e-05	-683.79663	11.33908	-2.045393e-06	37.00510787963867
9	-318.62836	673.67236	-18.695957	-3038.5852	107.888885	-32.77687	8.305	-6.6123676	-60.539074	40000	-0.15288284	36015.656	-2.05338e-05	-1508.3633	11.338411	3.751278e-06	41.806339263916016
