Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-12295.26	78.654526	-12180.517	-12377.391	1000.0	0.73913354	0.09931768	1.7750536	0.45156616	4000	-0.063496836	1290043.0	-0.33425796	-35169.438	7.3488255	12.679636	4.876618385314941
1	-344.21158	689.9694	-26.618597	-3141.3843	112.82353	-16.265488	3.8000531	-7.843177	-42.50735	8000	-0.15416828	41482.625	-0.0001503434	-1077.625	11.374575	4.0322426e-05	8.942118644714355
2	-224.0623	464.65506	-24.620132	-3016.3042	74.79487	-19.3425	5.4723854	-7.5268106	-49.192375	12000	-0.1803546	36352.15	-9.6559525e-05	-918.7461	11.353886	-6.0594084e-07	12.965735673904419
3	-188.03142	383.74393	-32.413975	-2995.5405	63.58621	-22.52975	6.900386	-8.527751	-64.38767	16000	-0.1251471	23070.783	-0.00014710426	-520.61865	11.263842	5.4816843e-05	17.003292083740234
4	-224.187	411.11407	-21.486448	-2962.8513	72.92593	-24.917606	7.7586613	-9.36739	-75.40614	20000	-0.15578896	25866.025	-7.3730946e-05	-687.00195	11.357067	-9.466052e-06	21.01377534866333
5	-322.01642	706.9603	-32.360092	-3098.014	108.1875	-27.576899	8.754222	-10.938542	-73.12294	24000	-0.123779446	40872.242	-4.208088e-05	-1427.8262	11.33028	-1.2471318e-05	25.272117376327515
6	-455.78506	869.5394	-43.62573	-3043.796	151.42105	-31.685963	10.049797	-12.0673	-94.71203	28000	-0.17260802	46519.14	-0.0002593994	-2027.3691	11.337431	8.3582636e-05	29.842023372650146
7	-216.47795	443.77322	-21.190914	-3070.6987	71.77778	-37.55223	12.801825	-11.551501	-116.40838	32000	-0.11987555	29170.512	-0.00023907423	-1011.8242	11.3459425	5.501747e-05	33.82708954811096
8	-206.98102	396.61118	-18.914644	-3048.3062	69.98245	-41.701134	14.661818	-13.338739	-129.10924	36000	-0.11152208	19564.008	-0.00018000603	-564.46045	11.332723	4.8371912e-05	37.82605719566345
9	-296.62228	688.83575	-28.119427	-3123.4634	99.36364	-44.450985	14.181342	-16.365488	-126.105156	40000	-0.18061972	38902.215	-7.683039e-05	-1846.5586	11.332048	-6.0196282e-05	42.135223627090454
