Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-88.59133	199.08287	-3.5258868	-974.0001	92.075	0.020377928	0.35417402	1.1457005	-1.03904	4000	-0.11021682	4568.461	0.02060759	-360.13135	7.3488255	1.9477208	4.4297356605529785
1	-234.0696	457.29617	-26.985603	-3016.2527	76.585365	-3.1208515	0.5302321	-1.1966833	-4.509856	8000	-0.19206369	39951.633	-2.014637e-05	-1190.8184	11.36651	3.0627252e-06	8.301644086837769
2	-317.87476	688.0791	-29.945438	-2999.5977	105.0	-6.6615725	0.65971667	-3.33986	-8.48489	12000	-0.19128788	50596.297	-2.348423e-05	-806.22266	11.345757	3.0264853e-06	12.21997618675232
3	-249.15791	569.6184	-29.680075	-2915.3518	86.391304	-8.551018	0.78025055	-3.104608	-10.3287735	16000	-0.15485945	37168.555	-1.3917685e-05	-391.78125	11.25569	-5.3499934e-06	16.105370044708252
4	-196.4209	387.55936	-23.312687	-3054.1567	64.7541	-9.810914	0.7654976	-5.6683474	-11.49466	20000	-0.16863298	26388.209	-1.8119812e-05	-214.95752	11.348862	5.1140785e-07	19.97513222694397
5	-187.66515	385.70258	-21.041527	-3004.5547	64.55173	-10.664655	0.7142337	-6.748698	-12.346408	24000	-0.118917465	25532.473	-8.702278e-06	-173.77295	11.32206	3.7324423e-07	23.79641032218933
6	-301.12622	636.83044	-27.728758	-3019.3586	102.23077	-11.221197	0.7227975	-7.46785	-13.082318	28000	-0.18929273	40701.82	-1.847744e-05	-298.77734	11.329219	1.1539458e-06	27.654391765594482
7	-178.57845	381.9932	-30.460434	-2988.5784	59.372883	-12.14625	0.7271788	-8.15905	-13.783373	32000	-0.13209265	29033.365	-1.3649464e-05	-166.53613	11.337702	-1.6033653e-07	31.511256456375122
8	-227.65404	422.30975	-30.21499	-2915.034	76.55556	-12.826238	0.6477831	-8.435344	-14.360223	36000	-0.09484863	31240.227	-9.775162e-06	-182.39551	11.324463	7.6532365e-07	35.375221490859985
9	-175.22205	370.79086	-9.674891	-2947.8718	58.80328	-13.411956	0.70395106	-9.20049	-15.406196	40000	-0.15178514	25699.152	-1.6450882e-05	-123.208496	11.323818	-7.2479224e-08	39.44380283355713
