Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-300.587	800.04724	-67.24489	-9014.786	32.471546	0.13645676	0.9312236	3.3103037	-2.940549	4000	-0.032525897	197337.4	-0.2714094	-2956.6084	7.3491898	10.141149	4.409486532211304
1	-272.0158	595.43335	-31.321335	-2950.602	91.48837	-3.4890826	2.6489148	3.966411	-14.610365	8000	-0.16442361	41291.094	-1.9982457e-05	-446.94727	11.364721	2.106309e-06	8.240440607070923
2	-286.74106	614.2417	-24.86759	-3069.1858	94.756096	-4.693474	2.6690912	3.0155692	-17.941835	12000	-0.14544357	42361.914	-1.8626451e-05	-471.29492	11.331205	1.9464494e-06	12.081106185913086
3	-366.63287	695.23676	-24.981886	-2975.0977	125.86667	-5.9617267	2.8521624	1.9760607	-19.74641	16000	-0.17323111	42324.81	-1.8769875e-05	-490.75586	11.310896	-1.9226072e-06	15.873364448547363
4	-154.36685	112.40252	-24.33577	-549.8783	52.45	-7.565751	3.1466763	1.2445835	-23.065174	20000	-0.17496955	21059.727	-1.9520521e-05	-240.58496	11.278153	-4.3644905e-06	19.663732528686523
5	-267.0189	487.90445	-30.879646	-3021.3381	89.28205	-8.276412	3.4383838	0.2564597	-26.125921	24000	-0.15122622	36212.484	-1.4517456e-05	-438.083	11.30984	5.507469e-07	23.48930311203003
6	-228.66559	475.02005	-27.432812	-2948.1458	76.0	-9.475724	3.6994357	0.28402588	-27.275143	28000	-0.17903899	43176.477	-2.0740554e-05	-509.08594	11.356258	8.279205e-06	27.314806699752808
7	-285.8541	625.4562	-21.73158	-3034.2185	97.1	-10.97282	3.8232932	-1.3834711	-34.633255	32000	-0.16613294	39256.266	-1.7151237e-05	-442.46094	11.3186455	-2.1981002e-06	31.132516622543335
8	-208.54012	449.89816	-26.836657	-3093.8733	69.61702	-12.196316	4.0969634	-0.27008662	-34.801483	36000	-0.17568922	37795.68	-1.7166138e-05	-418.9209	11.316511	-1.1730194e-06	34.94881772994995
9	-519.5534	879.0822	-54.99063	-2986.5325	172.77777	-12.954275	4.0476217	-0.20742396	-35.855064	40000	-0.16103286	51612.46	-1.3679266e-05	-751.0137	11.335222	-1.1497737e-06	39.00064778327942
