Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-570.5311	560.2907	-18.051743	-1277.8254	442.25	0.030715654	0.14388667	0.60378104	-0.43023628	4000	-0.22006169	13420.734	0.036078513	-685.0161	7.3491898	2.2971175	4.360475301742554
1	-215.1243	428.6524	-23.855598	-2868.887	72.57143	-2.9327188	0.9006957	0.06083321	-6.552446	8000	-0.16677445	39660.305	-0.00018134713	-603.1836	11.310925	4.5612214e-05	8.165121078491211
2	-312.93954	693.7434	-27.43033	-3019.6738	108.1875	-4.720623	1.2216402	-1.0101345	-9.941961	12000	-0.14655848	44091.723	-7.710233e-05	-475.57812	11.277407	5.2595137e-06	11.896228790283203
3	-245.86479	482.08875	-35.917362	-2868.6602	87.09091	-6.0255814	1.2651176	-2.310067	-11.185436	16000	-0.17927802	40226.746	-0.00014209747	-351.16992	11.257103	-2.0414709e-05	15.844759225845337
4	-365.80667	706.6523	-33.570454	-2828.4302	125.03704	-7.0001316	1.2264448	-2.3922565	-12.470997	20000	-0.09716049	45714.61	-0.00012591481	-364.99414	11.224354	-1.658845e-05	20.155717849731445
5	-258.84717	602.45337	-23.824076	-2977.1245	90.674416	-8.011851	1.2288473	-3.9347827	-12.669307	24000	-0.20151886	39526.324	-0.00019559264	-252.12695	11.25618	2.243507e-05	24.44198226928711
6	-212.37457	415.00958	-28.696663	-2930.578	73.145836	-8.763853	1.3118885	-3.4271004	-14.052183	28000	-0.09709811	29324.734	-5.4836273e-05	-169.16211	11.302511	-2.5592924e-05	28.224315643310547
7	-293.4512	624.7652	-24.73669	-2980.7573	101.48718	-9.294135	1.3869065	-4.4207864	-15.225892	32000	-0.17095768	38827.79	-8.997321e-05	-221.18555	11.265045	4.4038316e-06	32.006115436553955
8	-416.52936	838.8922	-19.442053	-2953.5562	145.0	-9.889922	1.2545367	-5.490106	-15.620335	36000	-0.18409759	50720.84	-0.00027132034	-316.22266	11.262899	0.000104194165	35.74394226074219
9	-496.96887	900.0082	-43.787575	-2993.998	167.17647	-10.600213	1.0803031	-7.1945486	-15.212991	40000	-0.14987838	53358.164	-0.00013720989	-317.49023	11.281595	1.707983e-05	39.75856399536133
