Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	53904.35	5414.4155	58272.117	44670.95	1000.0	-24.876825	26.133663	62.269997	-222.0156	4000	-0.055861354	26972896.0	-0.00170964	-19369.0	15.638765	-9.009459e-05	4.8321027755737305
1	59584.832	1185.4171	60941.875	57831.688	1000.0	-24.172363	26.505484	61.250446	-177.62619	8000	-0.015297562	32238018.0	-0.0020271242	-40294.0	15.566721	-0.00025629235	9.012343883514404
2	57693.13	8845.568	66622.516	46768.566	1000.0	-12.949218	31.826109	109.95379	-255.3901	12000	-0.038804293	29439788.0	-0.001980424	-36272.5	15.612446	-0.00042145728	13.89989447593689
3	62092.0	907.48944	63382.004	61060.062	1000.0	-19.096373	26.60834	73.917	-186.81111	16000	0.016091824	34067530.0	-0.0024786443	-47139.5	15.536557	0.00011727832	18.130550861358643
4	58252.78	8359.62	64162.094	43825.53	1000.0	-16.605038	22.24243	102.11386	-192.58559	20000	-0.0046203136	30296212.0	-0.0020064116	-29128.0	15.56942	-0.000101335056	22.75976276397705
5	58810.31	5124.24	64951.78	53124.004	1000.0	-13.391463	24.0977	130.4182	-177.56374	24000	-0.049574614	30876108.0	-0.0022325516	-32137.0	15.619282	-0.00012946245	26.991321325302124
6	54948.086	6720.7495	63280.684	47666.855	1000.0	-5.756075	23.874346	112.12806	-156.98297	28000	-0.049422264	26818248.0	-0.0021834373	-33560.0	15.699032	-0.00039085845	31.215903520584106
7	63439.9	6416.724	72639.64	54814.02	1000.0	-9.4841	23.954762	143.6596	-258.96262	32000	0.08564234	35990616.0	-0.0016806722	-42444.0	15.662887	0.00011519573	35.66466975212097
8	62879.434	5355.3887	70563.305	55769.883	1000.0	6.981104	27.744831	120.46864	-172.71771	36000	-0.009705305	35132170.0	-0.002001077	-57861.5	15.618583	0.00032432246	39.98008060455322
9	61941.23	1903.1609	63515.555	58754.02	1000.0	-0.79500073	22.663818	164.377	-113.52998	40000	0.06548476	33859892.0	-0.0018690899	-40061.5	15.565453	2.8133363e-06	44.346924781799316
