Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	41900.32	3848.798	48484.96	38751.926	1000.0	13.728969	19.339108	209.92618	-76.38711	4000	-0.089158654	15731395.0	-0.0010001063	-6442.75	15.582628	3.9527513e-06	4.100708484649658
1	46507.1	3268.5017	50903.137	43342.023	1000.0	17.114557	20.83028	159.90346	-55.71758	8000	-0.10294247	19542304.0	-0.0010495186	-10281.0	15.667488	9.123087e-05	7.59996485710144
2	42881.062	5245.7783	48628.164	37502.363	1000.0	13.787935	19.180895	143.35008	-60.391087	12000	-0.04083872	16401839.0	-0.0010709763	-8800.75	15.649386	5.885624e-05	11.307421445846558
3	41981.562	3850.0437	47630.586	37039.223	1000.0	18.14155	21.602629	216.75499	-41.772083	16000	0.013651729	15673087.0	-0.0014166534	-9196.5	15.703826	6.763197e-05	14.851867198944092
4	49256.664	5745.8276	54485.26	39727.344	1000.0	18.882444	21.05621	180.2711	-66.5567	20000	0.027883768	22560668.0	-0.0011292994	-14902.25	15.592974	1.5611899e-05	18.545318365097046
5	42926.355	3622.2898	48705.457	39094.113	1000.0	21.597702	23.407469	302.4108	-36.16539	24000	0.03175974	16736188.0	-0.0013150964	-11700.5	15.6378765	6.3812004e-05	22.024173974990845
6	53187.92	11996.125	70870.625	41243.87	1000.0	19.797058	20.891981	223.3242	-48.834164	28000	0.019970417	28032440.0	-0.0012595057	-17593.5	15.602537	3.8670813e-05	25.642972707748413
7	46450.074	9409.713	58220.28	34912.43	1000.0	25.272055	24.304142	210.85968	-36.82291	32000	0.042929173	20481446.0	-0.0012552738	-12952.75	15.662235	0.00014132881	29.144781351089478
8	49672.61	7155.194	60473.414	41678.19	1000.0	24.958708	22.216372	192.77203	-26.834206	36000	0.027739644	22932112.0	-0.0011388063	-16086.25	15.561047	-1.6406295e-05	32.91679000854492
9	43627.664	3523.5374	46298.387	37581.32	1000.0	23.055075	20.400118	193.7747	-35.28169	40000	-0.0021891594	16770014.0	-0.0010090172	-12582.25	15.68846	5.9130194e-05	36.75264024734497
