Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	33974.082	3283.4407	37354.816	29085.033	1000.0	2.9496102	1.8641083	10.610203	-4.833148	4000	-0.019318342	9927752.0	-0.00016766787	-728.125	15.582628	1.8250939e-06	4.1337666511535645
1	30467.812	660.63745	31345.018	29521.113	1000.0	3.0169935	1.7539611	8.309257	-3.5540116	8000	0.08689892	7897761.0	-0.00018709898	-722.375	15.667488	-7.23815e-06	8.008769273757935
2	30993.88	1814.6805	34093.367	29548.96	1000.0	3.2235844	1.785521	9.940888	-4.646486	12000	0.016978502	8246573.5	-0.0001989305	-787.0	15.649389	-1.1370194e-06	11.854382991790771
3	36611.66	5438.9214	43221.383	28615.367	1000.0	3.2781713	1.8141316	9.78133	-4.114644	16000	-0.020255327	11892136.0	-0.00020298362	-1059.25	15.703829	-1.43451725e-05	15.766547203063965
4	33252.113	4783.3584	41121.418	29257.756	1000.0	3.6547046	1.8299545	10.735064	-3.2217195	20000	-0.08115482	9484279.0	-0.00022090971	-943.0	15.592976	-4.2607753e-06	19.718379020690918
5	30882.021	682.4975	31471.178	29719.752	1000.0	3.6496851	1.7401514	10.237496	-3.1991403	24000	-0.005309224	8012051.0	-0.00020948052	-892.625	15.637878	1.5972853e-05	23.543014764785767
6	31284.639	1837.4014	33087.562	28809.83	1000.0	3.828753	1.7878333	9.597682	-3.3247185	28000	0.00022745132	8335985.0	-0.0002412796	-956.375	15.602537	9.85575e-06	27.411069631576538
7	31878.004	4005.7273	38599.336	28419.941	1000.0	4.23325	1.8657234	10.574738	-3.612383	32000	-0.05204463	8817538.0	-0.00020834804	-1063.125	15.662235	1.3754361e-06	31.278250694274902
8	32655.395	4155.314	39057.496	28554.475	1000.0	4.353258	1.8178859	10.139881	-3.0594077	36000	0.018582702	9282070.0	-0.00022143126	-1107.5	15.561046	8.733274e-06	35.123610734939575
9	34873.445	4622.966	42771.445	31572.582	1000.0	4.3926554	1.830955	9.970542	-3.149787	40000	0.051237106	10893607.0	-0.00021803379	-1295.25	15.6884575	1.8363236e-05	38.92252564430237
