Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	40725.047	2318.894	44196.723	37723.293	1000.0	-0.1360651	1.096325	3.4710479	-4.0033784	4000	0.013771772	15099358.0	-0.00011958927	-114.75	15.628707	-2.3159982e-06	4.076473951339722
1	38938.914	3849.4443	45426.812	35779.207	1000.0	-0.10663548	1.0744802	3.6808271	-3.8607564	8000	-0.01260674	13290433.0	-0.00013029575	-196.75	15.607679	-2.1164424e-06	7.66318416595459
2	40083.07	6049.2964	49911.08	34691.766	1000.0	-0.08055225	1.0878297	3.092183	-4.2093315	12000	-0.0051276684	14626280.0	-0.00014201552	-214.5	15.691068	-1.5409005e-06	11.176431894302368
3	34911.03	1064.1226	36024.855	33592.15	1000.0	-0.10861079	1.1038343	3.4208755	-3.7547288	16000	-0.05712998	10415240.0	-0.00013145804	-141.75	15.56935	3.7794107e-06	14.7478768825531
4	41846.066	5498.59	48619.906	34420.14	1000.0	-0.008235161	1.0648366	4.403255	-3.8821633	20000	-0.0022784472	15761452.0	-0.00014722347	-228.25	15.636282	-4.6777677e-07	18.382694959640503
5	41151.562	1595.0876	42648.625	38495.844	1000.0	-0.01940815	1.0761601	3.4599676	-3.9300652	24000	-0.005451858	14855445.0	-0.00014355779	-224.25	15.649637	-1.3232229e-06	21.911160945892334
6	43123.938	5152.2734	48698.164	35488.996	1000.0	0.046857353	1.0417591	3.6377184	-3.1558173	28000	-0.016308784	16677190.0	-0.00014692545	-279.25	15.597158	2.5591844e-06	25.491647005081177
7	38247.61	3511.0686	43488.445	34519.406	1000.0	-0.020570897	1.0572418	4.01157	-4.1875596	32000	-0.036729097	12854106.0	-0.00014072657	-198.5	15.55673	5.259517e-07	28.991647720336914
8	42266.07	8195.8125	56256.793	36252.45	1000.0	0.046197265	1.1129838	3.994796	-3.8522875	36000	-0.019768476	16869576.0	-0.0001552701	-273.25	15.608656	-3.5202502e-06	32.47519564628601
9	41307.68	3869.527	45047.676	35304.08	1000.0	0.04100424	1.0709102	3.499921	-3.8944192	40000	0.032580018	15498388.0	-0.00014802814	-232.25	15.63972	-4.8544407e-06	36.14907503128052
