Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	38634.11	1904.0273	41137.457	36620.16	1000.0	15.327995	19.287718	127.13845	-59.48645	4000	-0.003230095	12856492.0	-1.9443705	-4629919.0	15.582627	19.056107	4.043449878692627
1	41271.75	2126.4194	44085.836	38949.016	1000.0	668.1885	355.05087	2865.7854	87.775955	8000	0.044427693	10876368.0	-24.028385	-3142548.5	15.66748	23.96724	7.565910577774048
2	48632.227	10013.379	64312.3	38228.387	1000.0	1430.9923	621.5097	6331.8574	136.15828	12000	0.049803495	11946682.0	-21.461855	-4660794.0	15.649464	17.351654	11.7449951171875
3	56525.395	7344.707	62372.188	44366.227	1000.0	2030.9512	926.4211	6807.024	144.70447	16000	0.05393803	14411350.0	-10.156366	-4324240.5	15.7039995	9.232099	15.454174280166626
4	48989.02	9147.976	60295.816	37647.37	1000.0	2594.8506	1358.8873	10286.743	150.62015	20000	0.01482445	7808872.5	-12.847525	-981718.75	15.593245	10.844747	19.137351989746094
5	48473.625	7081.9204	57089.664	40044.13	1000.0	3194.16	1549.4093	11974.587	148.29947	24000	0.053533614	5321151.0	-10.224857	-420582.38	15.638178	8.598563	22.810808420181274
6	44198.207	3327.2742	49675.863	41238.387	1000.0	3328.4666	1553.8773	11646.113	277.77673	28000	0.03736204	4169201.0	-10.106588	-232978.38	15.602935	8.4643955	26.368849277496338
7	49471.113	5018.192	57848.777	44978.844	1000.0	3182.5576	1529.4843	13521.614	203.23662	32000	-0.0540331	5843894.5	-9.55371	-440100.7	15.6627035	7.2967634	30.414016008377075
8	44088.086	4887.0347	49723.875	38752.652	1000.0	3562.992	1523.4996	13850.107	236.84987	36000	0.0025427938	3626487.5	-8.891481	-192022.31	15.561417	8.661895	34.032878398895264
9	45344.61	3689.6887	51614.82	42552.14	1000.0	3135.7734	1439.7487	12921.322	79.495026	40000	0.0012837276	3634961.0	-3.7830982	-220268.06	15.688831	3.250638	37.72034311294556
