Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	43959.082	2877.377	47016.746	39978.48	1000.0	-5.2285385	26.527504	155.4616	-172.50337	4000	-0.032167673	16726457.0	-0.6286998	-2196332.8	15.628707	26.310467	4.35181999206543
1	42573.28	296.38596	43012.2	42180.184	1000.0	269.9348	175.89223	1670.2555	-1.4912264	8000	0.009524332	13783196.0	-35.05769	-1064861.5	15.60762	26.364706	8.353076457977295
2	47198.758	4563.3604	54530.734	42596.85	1000.0	410.1364	263.3049	3427.2576	-166.8164	12000	0.00968647	16781280.0	-21.810217	-1123462.0	15.691021	17.354366	12.483541011810303
3	46455.766	3144.823	50676.504	43236.555	1000.0	568.884	367.58682	3250.3955	-5.552667	16000	0.06607768	15279266.0	-25.593338	-947922.0	15.569323	20.4827	16.503063678741455
4	49085.047	4908.544	57354.094	44924.79	1000.0	665.4116	428.81964	4742.7583	-279.5842	20000	0.013169408	17641918.0	-13.690306	-877044.5	15.636383	9.732694	20.261314868927002
5	47773.33	6128.7607	57688.344	41012.895	1000.0	809.3496	529.13855	6535.815	-18.30316	24000	0.0054966807	14322966.0	-25.382366	-718540.0	15.649757	13.529533	24.038708686828613
6	46698.805	3847.4438	50383.945	40907.02	1000.0	884.98315	559.8651	6901.71	3.5153162	28000	-0.036586523	13464283.0	-19.360474	-645090.25	15.59729	9.022318	27.696643829345703
7	48609.39	3307.164	53262.31	45173.812	1000.0	1001.3014	602.85333	7144.4287	15.699398	32000	0.019421577	13682823.0	-9.373981	-689429.75	15.556797	5.8174963	31.681518077850342
8	43724.863	2340.4539	46462.87	40248.43	1000.0	1072.6252	625.1289	7058.3706	11.857758	36000	-0.05698009	9765652.0	-12.2951355	-441843.75	15.608759	7.3350773	35.56423902511597
9	50286.02	7730.457	62905.434	42089.055	1000.0	1149.9803	655.6416	6647.257	17.300182	40000	0.02199179	14143554.0	-8.623013	-755632.0	15.63972	5.821207	39.47716569900513
