Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	40149.312	3907.2212	44510.223	35815.61	1000.0	-0.0922734	1.0920806	3.321955	-3.93224	4000	0.03271532	14665428.0	-0.048044324	-50880.75	15.628707	0.0018066429	4.078227281570435
1	39444.406	3385.241	43760.035	34518.766	1000.0	5.747321	3.6436853	14.980801	-8.154725	8000	0.04377544	14055505.0	-0.049265772	-29764.0	15.60774	0.00025431253	7.626842021942139
2	38548.773	3465.4866	42305.08	34753.465	1000.0	9.573563	5.2910748	21.003822	-14.085765	12000	-0.032965183	13128194.0	-0.044963717	-26219.5	15.69121	0.0005991319	11.064269542694092
3	40060.434	2001.199	42843.875	37871.543	1000.0	12.797056	6.2193623	25.872334	-11.789193	16000	-0.019925267	13975746.0	-0.045996696	-25166.5	15.569433	6.138417e-05	14.573739767074585
4	37994.11	3123.034	42891.746	35226.695	1000.0	14.968193	7.2140675	28.301714	-20.965841	20000	-0.05848372	12444320.0	-0.046387017	-21054.5	15.63633	0.00085299416	18.025490760803223
5	41357.637	3080.2727	44622.504	37226.367	1000.0	18.01598	7.6860156	30.71428	-18.127203	24000	-0.008862913	15184432.0	-0.046348274	-22301.5	15.649572	0.000491661	21.48461413383484
6	39379.406	2248.6746	41829.32	35708.15	1000.0	20.69896	8.362965	33.47071	-24.862411	28000	0.090328455	13508397.0	-0.04654005	-18776.0	15.597078	-0.0005260628	24.977745532989502
7	37976.844	3257.63	40835.887	32442.83	1000.0	22.983715	8.722705	35.564865	-26.530602	32000	-0.042445064	12746268.0	-0.04309082	-16907.75	15.556818	0.00029433216	28.40489172935486
8	40476.19	3034.4768	44523.527	36153.543	1000.0	24.77438	8.582463	36.286037	-23.226648	36000	0.04023695	14399827.0	-0.0419946	-18416.5	15.608665	0.0002183211	31.9343581199646
9	37041.875	1612.7345	38653.99	34701.91	1000.0	27.23944	8.958126	38.078465	-21.815884	40000	-0.015518129	11583870.0	-0.044304132	-14627.75	15.639805	-8.616899e-05	35.612279415130615
