Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	36343.035	1152.848	37747.887	35068.426	1000.0	-0.13075747	0.55743206	1.9387131	-1.7829345	4000	-0.06554061	11329085.0	-0.12384814	-165633.75	15.628706	0.044745207	4.34685492515564
1	36798.61	882.2007	38227.82	35962.734	1000.0	25.01666	0.8331437	25.463654	10.837695	8000	-0.030687332	11436780.0	-0.07107335	-124590.75	15.606779	0.028528223	8.205319881439209
2	39221.184	1647.3844	40600.164	36479.84	1000.0	43.76193	1.1939192	44.099	12.779154	12000	-0.06109065	13080054.0	-0.058186993	-139596.5	15.689476	0.023863625	11.994213819503784
3	41822.477	3418.3296	46667.25	37107.445	1000.0	63.443634	2.3335786	63.897133	16.733639	16000	-0.041615278	14963958.0	-0.04324989	-160631.5	15.566888	0.018636426	15.86732792854309
4	43085.688	1276.4893	44818.617	41513.875	1000.0	85.02147	0.66714114	85.16527	53.235523	20000	0.0055506825	15581815.0	-0.04201582	-164805.5	15.632833	0.01789136	19.691438674926758
5	43581.277	670.61957	44386.59	42525.117	1000.0	106.47692	0.71868825	106.61038	76.581856	24000	-0.023596287	15954989.0	-0.035530273	-162828.0	15.645391	0.016033297	23.526065349578857
6	42686.617	1751.2888	44730.645	40047.707	1000.0	127.600655	0.60636216	127.676414	98.89932	28000	0.0004014969	15092058.0	-0.031902343	-151030.0	15.592247	0.01038704	27.324578762054443
7	44361.938	1510.0219	46275.688	42047.203	1000.0	147.78091	0.33740428	147.82506	133.79645	32000	-0.07238213	16098834.0	-0.030036476	-154967.75	15.551163	0.012631055	31.212263107299805
8	45368.586	3120.7341	48913.46	41657.734	1000.0	167.92302	0.31873995	167.95139	153.70102	36000	-0.052247167	16654890.0	-0.025464535	-160675.5	15.602272	0.011627415	35.08248281478882
9	46511.438	1006.76556	47846.21	45074.047	1000.0	188.30128	0.27390367	188.31264	175.21849	40000	0.046036363	17405866.0	-0.016383138	-164802.25	15.632439	0.010604204	39.1859872341156
