Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	51680.945	8164.666	61359.805	41748.207	1000.0	-26.976221	26.349516	103.34328	-315.15756	4000	0.041176915	24749736.0	2367.4814	-11477068.0	15.638765	11891.967	5.080058336257935
1	63836.742	14280.872	84514.51	44366.855	1000.0	1214.5983	517.3428	7443.161	202.5134	8000	-0.01752901	26997480.0	-0.3275782	-9195439.0	24.049385	0.26421046	9.484076499938965
2	73499.69	9767.026	80269.64	56657.65	1000.0	2073.6648	1032.364	12559.246	354.7369	12000	-0.05377984	29817252.0	-0.5186696	-8497855.0	24.095081	0.27057648	13.663143396377563
3	76027.33	10582.687	91390.0	61992.008	1000.0	3148.49	1487.3036	15368.324	573.78827	16000	-0.07690847	26604880.0	-0.4677676	-5886790.5	24.019093	0.30963236	17.863056182861328
4	60117.438	9419.265	73449.6	47207.07	1000.0	4400.0205	1596.242	17340.102	665.07886	20000	-0.015554786	8494149.0	-0.39969763	-526402.5	24.05181	0.29930344	22.397059202194214
5	56362.387	5995.9688	65780.07	49098.336	1000.0	4554.198	1471.0996	17297.291	796.535	24000	-0.011333466	4929264.0	-0.37763572	-263261.12	24.101643	0.25928056	26.777729511260986
6	62230.836	6454.8047	69677.78	52658.094	1000.0	4071.388	1754.4437	18221.033	718.3674	28000	-0.013609886	7163683.5	-0.455532	-773788.56	24.181374	0.24247655	30.904410362243652
7	61212.047	6462.34	70702.41	53407.453	1000.0	4539.693	1802.8231	23657.367	764.1823	32000	-0.08922422	5833431.0	-0.7448076	-367491.38	24.145199	0.35057753	35.25512456893921
8	63494.246	5684.203	70991.06	54983.473	1000.0	4785.466	1798.725	19717.94	755.2011	36000	-0.013467908	7469749.0	-0.45899948	-413574.5	24.100729	0.25488666	39.5063042640686
9	58803.14	4822.717	64880.06	51528.96	1000.0	4806.3076	1632.9741	14192.8545	807.64905	40000	-0.016286418	5652854.0	-0.25851	-220991.81	24.047575	0.16233507	44.129687547683716
