Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	39997.016	3862.3682	44236.355	35027.93	1000.0	14.026017	20.243292	191.49858	-50.756775	4000	-0.04038906	14142459.0	-285.12177	-4771885.0	15.58263	6364.3887	4.274709463119507
1	52317.656	14258.909	76933.06	42348.543	1000.0	788.50885	272.9494	2057.6445	63.66591	8000	0.07977915	18695088.0	-0.040469646	-7028309.5	24.151545	0.030535348	8.421024084091187
2	56043.84	28869.137	104107.71	32064.084	1000.0	1542.2898	691.1774	4724.87	67.665054	12000	0.047664165	22947280.0	-0.05033517	-6269964.0	24.133595	0.03836236	12.387654542922974
3	73828.9	33801.04	127374.39	43743.414	1000.0	2860.6885	1220.7238	9434.962	15.885574	16000	-0.01851654	31796936.0	-0.088404655	-8432147.0	24.188122	0.075286545	16.523672819137573
4	56771.86	21890.027	94666.07	43187.78	1000.0	4297.833	1276.5554	11768.981	319.90216	20000	0.010020256	10542406.0	-0.07607818	-833996.06	24.077234	0.07642457	20.655869007110596
5	64918.06	28693.81	114614.625	47918.215	1000.0	4600.49	1259.7003	13862.538	148.35855	24000	0.014983416	13342344.0	-0.058888674	-1747970.5	24.122156	0.053257547	24.736189603805542
6	52837.312	17707.31	71585.734	35138.293	1000.0	2934.209	1762.5931	14103.798	-3.0784545	28000	-0.01664877	8453276.0	-0.10008645	-717647.9	24.086843	0.07141337	28.43288779258728
7	49370.145	19285.863	80675.59	31716.438	1000.0	3952.3032	1749.162	14612.82	18.384575	32000	-0.033274174	7472284.0	-0.12211469	-501825.5	24.146513	0.09448245	32.33814263343811
8	64829.824	23973.541	98625.47	34705.24	1000.0	3706.925	1642.0905	14614.662	33.125874	36000	0.04539776	12822783.0	-0.06955707	-1542200.0	24.045261	0.046029158	36.35341811180115
9	68545.875	19126.51	85040.72	36563.36	1000.0	3462.7705	1989.9056	15801.695	-1.9803792	40000	-0.08657193	14377568.0	-0.107052654	-2334603.5	24.17276	0.06663978	40.355677127838135
