Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	30731.89	312.24536	31171.441	30419.518	1000.0	0.32668626	0.107706085	0.69795465	-0.14156511	4000	0.004635036	7820526.0	-0.026643217	-27563.5	15.582628	6.199772	4.198770523071289
1	37500.824	994.87	38805.348	36064.047	1000.0	4.5572658	0.5107544	5.8696475	2.617969	8000	0.07223439	11981996.0	-0.00019024312	-13857.25	24.156841	-4.7579288e-05	7.3119587898254395
2	37608.9	1323.6924	39621.117	35943.0	1000.0	6.6015053	0.45306727	7.569219	4.7194047	12000	0.07602167	12160530.0	-0.00035494566	-7666.5	24.138876	-1.5616894e-05	10.494842529296875
3	40105.867	2083.5068	42516.703	36986.21	1000.0	7.644505	0.4146098	8.447185	3.6662726	16000	0.029421091	13929888.0	-0.00020846725	-5871.25	24.193459	-2.1656988e-05	13.685853004455566
4	38008.652	974.65753	39579.348	37051.793	1000.0	8.417455	0.37507534	9.051647	5.428395	20000	0.027431965	12234690.0	-0.00020340085	-4017.0	24.082659	7.2441107e-06	16.886736631393433
5	38373.89	1818.8192	40716.383	36507.25	1000.0	9.019699	0.28701583	9.483775	4.899601	24000	0.033367038	12668931.0	-0.00023376942	-3337.0	24.127615	3.4681794e-05	20.094500064849854
6	39686.066	2176.7834	42255.777	37247.39	1000.0	9.413442	0.3003649	9.862799	6.393499	28000	-0.011123657	13563476.0	-0.00026845932	-3125.75	24.092333	-2.0824431e-05	23.210443258285522
7	38758.008	1324.747	40330.793	37025.09	1000.0	9.856313	0.24754544	10.217594	6.2268662	32000	-0.023292184	13002926.0	-0.00020128489	-2569.25	24.152014	-5.2012918e-05	26.310426712036133
8	38212.32	721.99023	38938.418	37149.13	1000.0	10.2534275	0.18337737	10.513608	8.796824	36000	-0.04688728	12721316.0	-0.0003286749	-2158.0	24.050783	4.2570595e-05	29.491868019104004
9	39529.28	2295.5288	42920.492	37096.38	1000.0	10.504359	0.21865779	10.786293	8.346509	40000	-0.04527712	13398346.0	-0.00015550852	-2233.5	24.17811	-2.4290086e-05	32.95686197280884
