Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	37772.11	1148.9868	38878.69	35981.14	1000.0	-0.15138805	0.75688744	2.2385836	-2.5136297	4000	0.020737886	12341275.0	0.04194656	-61528.25	15.582628	9.276926	3.733400583267212
1	39332.902	2509.8142	41880.266	35548.824	1000.0	6.5830545	4.2034163	13.583883	-8.347116	8000	0.051712513	13356826.0	-9.894371e-06	-36805.75	24.152115	-8.158683e-07	6.930156230926514
2	37229.105	444.7276	37797.598	36576.79	1000.0	11.094229	4.4885936	16.100319	-11.082626	12000	-0.0137887	11869063.0	-1.4297664e-05	-20359.25	24.134113	-1.7366409e-06	10.059777736663818
3	38818.664	1029.765	40575.45	38065.727	1000.0	13.64888	4.0819116	17.246666	-11.016429	16000	-0.06558204	13025020.0	-1.7821789e-05	-16186.25	24.188526	1.2836456e-06	13.328367471694946
4	39815.215	1333.3839	41481.477	37914.117	1000.0	16.214916	2.856318	18.131666	-11.221054	20000	0.04521203	13448136.0	-1.9788742e-05	-11178.0	24.077549	7.371902e-06	16.478806018829346
5	37471.0	1718.5546	39430.63	35127.473	1000.0	17.439583	2.5580425	18.898493	-14.661853	24000	0.04189831	11913664.0	-1.1205673e-05	-7752.75	24.12254	1.5459061e-06	19.657562017440796
6	40111.05	1726.8755	42106.9	37769.793	1000.0	18.022684	3.3529062	19.502117	-18.131681	28000	-0.0080730915	13813785.0	-1.5676022e-05	-7551.0	24.087276	-1.7452237e-07	22.83073663711548
7	38058.6	3648.233	44014.543	34187.223	1000.0	17.993761	4.442726	20.075104	-18.848513	32000	-0.011552572	12667864.0	-1.5348196e-05	-9588.25	24.146961	-1.0504722e-06	25.998383045196533
8	38700.51	2076.1401	40474.48	35162.92	1000.0	19.832636	1.7588135	20.554588	-7.284391	36000	-0.022431016	12855652.0	-1.21593475e-05	-4927.5	24.04575	-5.0783143e-07	29.21720027923584
9	38085.24	1519.8519	39457.234	35512.168	1000.0	20.181425	2.3639655	21.025826	-16.350536	40000	0.003937483	12347584.0	-9.536743e-06	-4486.75	24.173122	-3.0784606e-06	32.67066717147827
