Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	60226.0	2680.9792	62637.082	55980.98	1000.0	-36.602814	37.764698	107.77186	-354.39676	4000	0.004003465	32805618.0	868.296	-3968852.5	15.65399	9131.92	4.6546783447265625
1	56179.42	11691.881	71532.52	42042.6	1000.0	268.41913	180.27264	1384.4788	-1.8774775	8000	-0.0101287365	28445600.0	-1.4341614	-1910155.2	24.086632	1.9378059	8.617934703826904
2	50306.473	5447.8037	57931.758	44157.79	1000.0	454.22125	294.75586	2126.1624	54.975777	12000	-0.05040264	19441320.0	-2.7061663	-1162825.2	24.01632	2.2187872	12.707112312316895
3	54361.53	9609.993	64808.305	40874.484	1000.0	576.53064	368.9003	3194.1812	52.010864	16000	0.0009032488	23081526.0	-2.9268894	-1257574.5	24.114176	2.313579	16.818788528442383
4	60706.773	10421.465	74334.055	45384.574	1000.0	732.35455	460.82968	3644.3025	56.475883	20000	0.05138874	27735562.0	-1.9826466	-1466364.8	24.111164	1.6238227	21.12401819229126
5	56929.164	2512.556	60417.664	53536.867	1000.0	866.58936	572.5579	4425.7573	62.01946	24000	0.0135576725	22231032.0	-2.2098389	-1146126.0	24.03183	1.4821405	25.044479846954346
6	51086.098	5564.496	60313.656	45563.004	1000.0	959.9994	635.06464	4453.306	59.705376	28000	0.027998924	15886387.0	-2.5713615	-769215.5	23.979279	1.6967092	29.043948888778687
7	53897.72	7018.974	61298.7	46547.527	1000.0	1101.7325	735.8193	5816.0166	80.69505	32000	0.020103931	18070522.0	-3.009491	-786190.75	24.091976	1.9959892	32.98653507232666
8	57377.99	5700.119	65377.938	49759.12	1000.0	1118.6688	773.40063	6618.7817	79.148994	36000	0.022666812	20545984.0	-2.7927418	-799644.25	24.108871	1.4337728	36.899131536483765
9	55568.508	8424.113	65598.84	43533.02	1000.0	1221.1842	830.70636	6070.3623	122.60063	40000	-0.047836423	18190980.0	-2.0359035	-706538.75	24.082253	1.2861052	40.967212200164795
