Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	41220.805	5202.799	48827.92	34366.945	1000.0	-0.12386617	1.1808878	3.5161319	-4.4531636	4000	0.034709483	15701138.0	-0.55659115	-51849.5	15.628707	17.75978	4.165693283081055
1	40920.887	3031.719	44160.645	37873.156	1000.0	4.297912	3.5375054	13.516901	-9.461802	8000	0.058129787	14457342.0	-0.0005624294	-29955.25	24.086521	-5.396175e-05	7.72882866859436
2	41888.883	5333.5356	50752.69	36536.133	1000.0	8.1153	4.303414	19.108204	-7.612438	12000	0.009153366	15360566.0	-0.00054466724	-29980.5	24.17002	-2.5616646e-05	11.223185539245605
3	38632.14	504.50003	39170.902	38006.914	1000.0	11.486678	5.087344	22.076805	-10.117318	16000	-0.035663992	12960331.0	-0.00068455935	-24920.75	24.048317	-3.1701093e-05	14.765552282333374
4	40804.71	1663.7346	43113.383	38812.297	1000.0	13.930506	6.0415096	26.904827	-13.719417	20000	-0.0009291172	14347376.0	-0.0005033016	-25181.0	24.115185	1.6879556e-05	18.353282690048218
5	39292.867	3183.5557	42429.543	34935.867	1000.0	17.995525	5.4209695	29.678905	-14.544225	24000	0.00374794	13325411.0	-0.00061285496	-27511.75	24.128538	-5.8370588e-05	21.92575454711914
6	40118.477	4257.3896	47491.9	37584.28	1000.0	21.057957	5.7017903	32.000828	-12.911372	28000	0.07483125	13936013.0	-0.00046384335	-25091.75	24.076067	7.735725e-06	25.485498428344727
7	38894.656	1317.1342	40216.094	37275.906	1000.0	24.281898	6.0710173	34.784603	-16.976246	32000	-0.028769016	12840334.0	-0.00050097704	-21351.75	24.03578	2.2922994e-05	29.005268096923828
8	39858.184	3153.5112	44651.395	36608.03	1000.0	25.356237	7.228318	36.515953	-22.046436	36000	0.0027489662	13735640.0	-0.0004968047	-23872.0	24.087652	-2.2631175e-05	32.58382821083069
9	38562.797	1778.2369	41478.305	36654.76	1000.0	27.90883	7.418168	37.956264	-25.309362	40000	-0.017375946	12728538.0	-0.000659585	-18040.25	24.118721	4.180956e-05	36.30501365661621
